title,short_description,price
Philips flat TV 20PF5121/01,"Turn up your viewing experience. With Crystal Clear III. 20"" LCD.",
Conceptronic DDE03G storage drive enclosure M.2 SSD enclosure Gray,M.2 SATA SSD Enclosure USB 3.0,
HP 3 year Next business day Onsite Designjet 4520 Hardware Support,HP 3 year Next business day Onsite Designjet 4520 Hardware Support,244094.0
C2G 0.5m Cat6 550MHz Snagless Patch Cable networking cable Purple,0.5m Cat6 550MHz Snagless Patch Cable Purple,
HP Power Supply Redundant Power Supply ML150 G5 Kit power supply unit,HP Power Supply Redundant Power Supply ML150 G5 Kit,
"D-Link DIS-M100G-SW network media converter 4000 Mbit/s Multi-mode,Single-mode Black","10/100/1000 Mbps to SFP Industrial Media, 4 Gbps, IEEE 802.3, Auto-MDI/MDIX",
Peach PT269 toner cartridge Compatible Cyan 1 pc(s),"305A, 1x 2600, Cyan",3995.0
"ASUS ZenBook 13 UX333FA-A4290T Notebook Silver 33.8 cm (13.3"") 1920 x 1080 pixels 8th gen Intel® Core™ i5 8 GB LPDDR3-SDRAM 256 GB SSD Wi-Fi 5 (802.11ac) Windows 10 Home","Intel Core i5-8265U (6MB Cache, 1.6GHz), 8GB LPDDR3-SDRAM, 256GB SSD, 33.8 cm (13.3"") Full HD 1920 x 1080, Intel UHD Graphics 620, WLAN, Bluetooth, Webcam, Windows 10 Home",
HERMA CD-PostPack mailing envelope detachable archive pocket 25pcs White,CD-PostPack mailing envelope detachable archive pocket 25pcs,
DYMO LabelWriter ™ 450 DUO,DYMO ® LabelWriter™ 450 DUO,23095.0
"Fujitsu ESPRIMO Mobile M Series ESPRIMO Mobile M9400 35.8 cm (14.1"") 1280 x 800 pixels Intel® Core™2 Duo 2 GB DDR2-SDRAM 160 GB Intel® GMA X3100 Windows Vista Business","14.1"" TFT WXGA (1280 x 800), Intel Core 2 Duo T8300 2.40GHz, 2GB DDR II, 160 GB HDD, DVD Supuper Multi, Intel X3100 358 MB, Windows Vista Business Edition / XP Pro TwinLoad",
Buffalo IFC-EC2U3UC interface cards/adapter USB 3.2 Gen 1 (3.1 Gen 1),2 Port USB 3.0 Express Interface Card,
Xerox Workcentre 4250V/UTQ 45 cpm 216 x 356 mm Analog copier,"Workcentre 4250V/UTQ, Copy/Colour Scan, B&W, 43 ppm, A4, 600 x 600 dpi, 100-sheet DADF, 2x 500-sheet Tray, Cabinet stand (with storage), 100-sheet Bypass Tray, 500-sheet Output Tray, 256 MB RAM, 80GB Hard Disk, USB/Ethernet, PS3 - PPCL6/5e, 220V",
Lenovo ThinkCentre M720s + 65W Standard AC Adapter (USB Type-C) 9th gen Intel® Core™ i3 i3-9100 8 GB DDR4-SDRAM 256 GB SSD SFF Black PC Windows 10 Pro,"Intel Core i3-9100 (6MB Cache, 3.6GHz), 8GB DDR4-SDRAM, 256GB SSD, DVD±RW, Intel UHD Graphics 630, LAN, Windows 10 Pro 64-bit + 65W Standard AC Adapter (USB Type-C)",
Shuttle XPС slim NC10U3 PC/workstation barebone i3-8145U 1.8 GHz Black Intel SoC FCBGA1528,"NC10U3, Core i3-8145U, 2x SO-DIMM DDR4, 2.5"", M.2, WLAN, 1G LAN, HDMI, DP, USB, 65 W, 142x142x42 mm",45895.0
"Samsung LE-46B530P7WXZG TV 116.8 cm (46"") Full HD Black",,
"ASUS VivoBook S14 S432FA-EB059T Notebook Silver 35.6 cm (14"") 1920 x 1080 pixels 10th gen Intel® Core™ i5 8 GB LPDDR3-SDRAM 512 GB SSD Wi-Fi 5 (802.11ac) Windows 10 Home","14"", Full HD, 1920 x 1080, Intel Core i5-10210U, 8GB LPDDR3-SDRAM, 512GB SSD, Intel UHD Graphics, WLAN, Webcam, Windows 10 Home",
ASUS Booksize V7-P7H55E PC/workstation barebone Mini-Tower Black LGA 1156 (Socket H),"V7-P7H55E, H55, DDR3, LGA 1156, DX10",
Lenovo Legion T730 9th gen Intel® Core™ i9 i9-9900K 32 GB DDR4-SDRAM 1000 GB SSD Tower Black PC Windows 10 Home,"Intel Core i9-9900K (16MB Cache, 3.6GHz), 32GB DDR4-SDRAM, 1000GB SSD, DVD±RW, Intel UHD Graphics 630, NVIDIA GeForce RTX 2080 SUPER (8GB), LAN, WLAN, Bluetooth, Windows 10 Home 64-bit",
C2G RJ45/DB9M Modular Adapter Red,RJ45/DB9M Modular Adapter,
"Projecta Compact Electrol 139x240 High Contrast S projection screen 2.69 m (106"") 16:9",Compact Electrol 139x240 High Contrast S,
